"bb_size","pf_action","number_hands","pct_hands_see_flop","avg_players_to_flop","pct_flop_hu","pct_flop_mw"
0.02,All,130050,0.5042,2.30,0.7476,0.2524
0.02,SRP,76865,0.5247,2.27,0.7676,0.2324
0.02,"3BP",15102,0.5825,2.17,0.8512,0.1488
0.02,"4BP+",2621,0.6150,2.08,0.9206,0.0794
0.05,All,42082,0.4931,2.30,0.7499,0.2501
0.05,SRP,24733,0.5124,2.26,0.7756,0.2244
0.05,"3BP",5507,0.5495,2.15,0.8599,0.1401
0.05,"4BP+",1015,0.5586,2.07,0.9277,0.0723
0.10,All,54340,0.6477,2.41,0.6605,0.3395
0.10,SRP,29549,0.6432,2.37,0.6842,0.3158
0.10,"3BP",4386,0.6892,2.23,0.7942,0.2058
0.10,"4BP+",655,0.7206,2.12,0.8919,0.1081
0.30,All,12953,0.5788,2.36,0.7001,0.2999
0.30,SRP,7284,0.5977,2.34,0.7170,0.2830
0.30,"3BP",1280,0.6367,2.20,0.8086,0.1914
0.30,"4BP+",195,0.6308,2.10,0.9106,0.0894
