"bb_size","player_bucket","relative_position","pairedness","suitedness","cbet_opportunities","cbets","cbet_frequency","small_pct","medium_pct","large_pct","overbet_pct"
0.02,HU,IP,Paired,"2Tone",1399,795,0.5683,0.3069,0.4428,0.1862,0.0642
0.02,HU,IP,Paired,Rainbow,1488,819,0.5504,0.3382,0.4554,0.1636,0.0427
0.02,HU,IP,Trips,Rainbow,34,23,0.6765,0.3478,0.3913,0.2174,0.0435
0.02,HU,IP,Unpaired,"2Tone",7639,4797,0.6280,0.2497,0.4743,0.2101,0.0659
0.02,HU,IP,Unpaired,Monotone,878,482,0.5490,0.3071,0.4398,0.1929,0.0602
0.02,HU,IP,Unpaired,Rainbow,5329,3217,0.6037,0.2829,0.4663,0.1996,0.0513
0.02,HU,OOP,Paired,"2Tone",962,415,0.4314,0.2723,0.4675,0.2048,0.0554
0.02,HU,OOP,Paired,Rainbow,947,414,0.4372,0.3309,0.4614,0.1715,0.0362
0.02,HU,OOP,Trips,Rainbow,31,22,0.7097,0.4091,0.4091,0.1818,0.0000
0.02,HU,OOP,Unpaired,"2Tone",5404,2595,0.4802,0.2759,0.4412,0.2197,0.0632
0.02,HU,OOP,Unpaired,Monotone,608,252,0.4145,0.3175,0.3849,0.2024,0.0952
0.02,HU,OOP,Unpaired,Rainbow,3632,1687,0.4645,0.3112,0.4357,0.2092,0.0439
0.02,MW,IP,Paired,"2Tone",196,88,0.4490,0.3636,0.3977,0.2045,0.0341
0.02,MW,IP,Paired,Rainbow,191,79,0.4136,0.4051,0.3165,0.2405,0.0380
0.02,MW,IP,Trips,Rainbow,3,3,1.0000,0.6667,0.3333,0.0000,0.0000
0.02,MW,IP,Unpaired,"2Tone",984,547,0.5559,0.3565,0.3748,0.2139,0.0548
0.02,MW,IP,Unpaired,Monotone,87,39,0.4483,0.3590,0.3590,0.2564,0.0256
0.02,MW,IP,Unpaired,Rainbow,693,341,0.4921,0.4340,0.4194,0.1026,0.0440
0.02,MW,OOP,Paired,"2Tone",450,172,0.3822,0.3721,0.3837,0.1512,0.0930
0.02,MW,OOP,Paired,Rainbow,516,188,0.3643,0.3670,0.4255,0.1489,0.0585
0.02,MW,OOP,Trips,Rainbow,20,5,0.2500,0.2000,0.2000,0.2000,0.4000
0.02,MW,OOP,Unpaired,"2Tone",2590,1096,0.4232,0.3540,0.3586,0.1843,0.1031
0.02,MW,OOP,Unpaired,Monotone,295,117,0.3966,0.3077,0.3932,0.1709,0.1282
0.02,MW,OOP,Unpaired,Rainbow,1699,690,0.4061,0.3594,0.3884,0.1899,0.0623
