"bb_size","num_players","pairedness","suitedness","occurrences","total_flops","texture_frequency"
0.02,HU,Paired,"2Tone",2361,28351,0.0833
0.02,HU,Paired,Rainbow,2435,28351,0.0859
0.02,HU,Trips,Rainbow,65,28351,0.0023
0.02,HU,Unpaired,"2Tone",13043,28351,0.4601
0.02,HU,Unpaired,Monotone,1486,28351,0.0524
0.02,HU,Unpaired,Rainbow,8961,28351,0.3161
0.02,MW,Paired,"2Tone",646,7724,0.0836
0.02,MW,Paired,Rainbow,707,7724,0.0915
0.02,MW,Trips,Rainbow,23,7724,0.0030
0.02,MW,Unpaired,"2Tone",3574,7724,0.4627
0.02,MW,Unpaired,Monotone,382,7724,0.0495
0.02,MW,Unpaired,Rainbow,2392,7724,0.3097
0.05,HU,Paired,"2Tone",813,9140,0.0889
0.05,HU,Paired,Rainbow,777,9140,0.0850
0.05,HU,Trips,Rainbow,16,9140,0.0018
0.05,HU,Unpaired,"2Tone",4200,9140,0.4595
0.05,HU,Unpaired,Monotone,489,9140,0.0535
0.05,HU,Unpaired,Rainbow,2845,9140,0.3113
0.05,MW,Paired,"2Tone",201,2384,0.0843
0.05,MW,Paired,Rainbow,217,2384,0.0910
0.05,MW,Trips,Rainbow,5,2384,0.0021
0.05,MW,Unpaired,"2Tone",1115,2384,0.4677
0.05,MW,Unpaired,Monotone,117,2384,0.0491
0.05,MW,Unpaired,Rainbow,729,2384,0.3058
0.10,HU,Paired,"2Tone",1011,11850,0.0853
0.10,HU,Paired,Rainbow,1037,11850,0.0875
0.10,HU,Trips,Rainbow,32,11850,0.0027
0.10,HU,Unpaired,"2Tone",5421,11850,0.4575
0.10,HU,Unpaired,Monotone,632,11850,0.0533
0.10,HU,Unpaired,Rainbow,3717,11850,0.3137
0.10,MW,Paired,"2Tone",438,4952,0.0884
0.10,MW,Paired,Rainbow,425,4952,0.0858
0.10,MW,Trips,Rainbow,13,4952,0.0026
0.10,MW,Unpaired,"2Tone",2256,4952,0.4556
0.10,MW,Unpaired,Monotone,279,4952,0.0563
0.10,MW,Unpaired,Rainbow,1541,4952,0.3112
